col1,col2,col3,col4,col5
L1,3080910,021BIQUEIRA,021_BIQ-1,BIQUEIRA-1
L2,3080910,022BIQUEIRA,022_BIQ-2,BIQUEIRA-2
L3,3080910,023BIQUEIRA,023_BIQ-3,BIQUEIRA-3
L4,3080910,024BIQUEIRA,024_BIQ-4,BIQUEIRA-4
L5,3080910,025BIQUEIRA,025_BIQ-5,BIQUEIRA-5
L6,3060908,026GASPEA,026_GAS-1,GASPEA-1
L7,3060908,027GASPEA,027_GAS-2,GASPEA-2
L8,3060908,028GASPEA,028_GAS-3,GASPEA-3
L9,3060908,029GASPEA,029_GAS-4,GASPEA-4
L10,3060908,030GASPEA,030_GAS-5,GASPEA-5
L11,3060400,031GASPEA,031_,
L12,3060400,032GASPEA,032_,
L13,3060400,033GASPEA,033_,
L14,3060400,034GASPEA,034_,
L15,3061317,035GASPEA,035_GAS+LIN-1,GASPEA+LINGUETA-1
L16,3061317,036GASPEA,036_GAS+LIN-2,GASPEA+LINGUETA-2
L17,3060400,037GASPEA,037_,
L18,3061314,038GASPEA,038_GAS+VIS-1,GASPEA+VISTA-1
L19,3061314,039GASPEA,039_GAS+VIS-2,GASPEA+VISTA-2
L20,3060400,040GASPEA,040_,
L21,3061317,041GASPEA,041_GAS+ETI-1,GASPEA+ETIQUETA-1
L22,3061317,042GASPEA,042_GAS+ETI-2,GASPEA+ETIQUETA-2
L23,3060400,043GASPEA,043_,
L24,3061317,044GASPEA,044_GAS+TRA-1,GASPEA+TRASEIRO-1
L25,3061317,045GASPEA,045_GAS+TRA-2,GASPEA+TRASEIRO-2
L26,3060400,046GASPEA,046_,
L27,3080910,047LINGUETA,047_LIN-1,LINGUETA-1
L28,3080910,048LINGUETA,048_LIN-2,LINGUETA-2
L29,3080910,049LINGUETA,049_LIN-3,LINGUETA-3
L30,3080400,050LINGUETA,050_,
L31,3081319,051LINGUETA,051_LIN-INF-1,LINGUETA INFERIOR-1
L32,3081319,052LINGUETA,052_LIN-INF-2,LINGUETA INFERIOR-2
L33,3080400,053LINGUETA,053_,
L34,3081319,054LINGUETA,054_LIN-SUP-1,LINGUETA SUPERIOR-1
L35,3081319,055LINGUETA,055_LIN-SUP-2,LINGUETA SUPERIOR-2
L36,3080400,056LINGUETA,056_,
L37,3080400,057LINGUETA,057_,
L38,3050907,058VISTA,058_VIS-1,VISTA-1
L39,3050907,059VISTA,059_VIS-2,VISTA-2
L40,3050400,060VISTA,060_,
L41,3051315,061VISTA,061_VIS-EXT-1,VISTA EXTERNA-1
L42,3051315,062VISTA,062_VIS-INT-1,VISTA INTERNA-1
L43,3051315,063VISTA,063_VIS-EXT-2,VISTA EXTERNA-2
L44,3051315,064VISTA,064_VIS-INT-2,VISTA INTERNA-2
L45,3050400,065VISTA,065_,
L46,3050400,066VISTA,066_,
L47,3051415,067VISTA,067_VIS-CENT-1,VISTA CENTRAL-1
L48,3051415,068VISTA,068_VIS-CENT-2,VISTA CENTRAL-2
L49,3050400,069VISTA,069_,
L50,3051316,070VISTA,070_VIS-SUP-1,VISTA SUPERIOR-1
L51,3051316,071VISTA,071_VIS-SUP-2,VISTA SUPERIOR-2
L52,3050400,072VISTA,072_,
L53,3070909,073LATERAL,073_LAT-1,LATERAL-1
L54,3070909,074LATERAL,074_LAT-2,LATERAL-2
L55,3070400,075LATERAL,075_,
L56,3071317,076LATERAL,076_LAT-EXT-1,LATERAL EXTERNA-1
L57,3071317,077LATERAL,077_LAT-INT-1,LATERAL INTERNA-1
L58,3071317,078LATERAL,078_LAT-EXT-2,LATERAL EXTERNA-2
L59,3071317,079LATERAL,079_LAT-INT-2,LATERAL INTERNA-2
L60,3071317,080LATERAL,080_LAT-EXT-3,LATERAL EXTERNA-3
L61,3071317,081LATERAL,081_LAT-INT-3,LATERAL INTERNA-3
L62,3071317,082LATERAL,082_LAT-EXT-4,LATERAL EXTERNA-4
L63,3071317,083LATERAL,083_LAT-INT-4,LATERAL INTERNA-4
L64,3071317,084LATERAL,084_LAT-EXT-5,LATERAL EXTERNA-5
L65,3071317,085LATERAL,085_LAT-INT-5,LATERAL INTERNA-5
L66,3040906,086TIRA,086_TIR-1,TIRA-1
L67,3040906,087TIRA,087_TIR-2,TIRA-2
L68,3040906,088TIRA,088_TIR-3,TIRA-3
L69,3040400,089TIRA,089_,
L70,3041314,090TIRA,090_TIR-EXT-1,TIRA EXTERNA-1
L71,3041314,091TIRA,091_TIR-INT-1,TIRA INTERNA-1
L72,3041314,092TIRA,092_TIR-EXT-2,TIRA EXTERNA-2
L73,3041314,093TIRA,093_TIR-INT-2,TIRA INTERNA-2
L74,3041314,094TIRA,094_TIR-EXT-3,TIRA EXTERNA-3
L75,3041314,095TIRA,095_TIR-INT-3,TIRA INTERNA-3
L76,3040400,096TIRA,096_,
L77,3040400,097TIRA,097_,
L78,3080910,098TRASEIRO,098_TRA-1,TRASEIRO-1
L79,3080910,099TRASEIRO,099_TRA-2,TRASEIRO-2
L80,3080910,100TRASEIRO,100_TRA-3,TRASEIRO-3
L81,3080400,101TRASEIRO,101_,
L82,3081318,102TRASEIRO,102_TRA-EXT-1,TRASEIRO EXTERNO-1
L83,3081318,103TRASEIRO,103_TRA-INT-1,TRASEIRO INTERNO-1
L84,3081318,104TRASEIRO,104_TRA-EXT-2,TRASEIRO EXTERNO-2
L85,3081318,105TRASEIRO,105_TRA-INT-2,TRASEIRO INTERNO-2
L86,3081319,106TRASEIRO,106_TRA-SUP-1,TRASEIRO SUPERIOR-1
L87,3081319,107TRASEIRO,107_TRA-SUP-2,TRASEIRO SUPERIOR-2
L88,3080400,108TRASEIRO,108_,
L89,3060909,109DEBRUM,109_DEB-1,DEBRUM -1
L90,3060909,110DEBRUM,110_DEB-2,DEBRUM -2
L91,3060909,111DEBRUM,111_DEB-3,DEBRUM -3
L92,3060400,112DEBRUM,112_,
L93,3061317,113DEBRUM,113_DEB-LIN-1,DEBRUM LINGUETA-1
L94,3061317,114DEBRUM,114_DEB-LIN-2,DEBRUM LINGUETA-2
L95,3060400,115DEBRUM,115_,
L96,3061726,116DEBRUM,116_DEB-LIN-SUP-1,DEBRUM LINGUETA SUPERIOR-1
L97,3061726,117DEBRUM,117_DEB-LIN-SUP-2,DEBRUM LINGUETA SUPERIOR-2
L98,3060400,118DEBRUM,118_,
L99,3060400,119DEBRUM,119_,
L100,3061314,120DEBRUM,120_DEB-VIS-1,DEBRUM VISTA-1
L101,3061314,121DEBRUM,121_DEB-VIS-2,DEBRUM VISTA-2
L102,3060400,122DEBRUM,122_,
L103,3061722,123DEBRUM,123_DEB-VIS-EXT-1,DEBRUM VISTA EXTERNA-1
L104,3061722,124DEBRUM,124_DEB-VIS-INT-1,DEBRUM VISTA INTERNA-1
L105,3060400,125DEBRUM,125_,
L106,3060400,126DEBRUM,126_,
L107,3061316,127DEBRUM,127_DEB-LAT-1,DEBRUM LATERAL-1
L108,3061316,128DEBRUM,128_DEB-LAT-2,DEBRUM LATERAL-2
L109,3060400,129DEBRUM,129_,
L110,3061724,130DEBRUM,130_DEB-LAT-EXT-1,DEBRUM LATERAL EXTERNO-1
L111,3061724,131DEBRUM,131_DEB-LAT-INT-1,DEBRUM LATERAL INTERNO-1
L112,3061724,132DEBRUM,132_DEB-LAT-EXT-2,DEBRUM LATERAL EXTERNO-2
L113,3061724,133DEBRUM,133_DEB-LAT-INT-2,DEBRUM LATERAL INTERNO-2
L114,3060400,134DEBRUM,134_,
L115,3061317,135DEBRUM,135_DEB-TRA-1,DEBRUM TRASEIRO-1
L116,3061317,136DEBRUM,136_DEB-TRA-2,DEBRUM TRASEIRO-2
L117,3060400,137DEBRUM,137_,
L118,3070909,138ENFEITE,138_ENF-1,ENFEITE-1
L119,3070909,139ENFEITE,139_ENF-2,ENFEITE-2
L120,3070909,140ENFEITE,140_ENF-3,ENFEITE-3
L121,3070400,141ENFEITE,141_,
L122,3071318,142ENFEITE,142_ENF-BIQ-1,ENFEITE BIQUEIRA-1
L123,3071318,143ENFEITE,143_ENF-BIQ-2,ENFEITE BIQUEIRA-2
L124,3070400,144ENFEITE,144_,
L125,3071316,145ENFEITE,145_ENF-GAS-1,ENFEITE GASPEA-1
L126,3071316,146ENFEITE,146_ENF-GAS-2,ENFEITE GASPEA-2
L127,3070400,147ENFEITE,147_,
L128,3071318,148ENFEITE,148_ENF-LIN-1,ENFEITE LINGUETA-1
L129,3071318,149ENFEITE,149_ENF-LIN-2,ENFEITE LINGUETA-2
L130,3070400,150ENFEITE,150_,
L131,3071317,151ENFEITE,151_ENF-LAT-1,ENFEITE LATERAL-1
L132,3071317,152ENFEITE,152_ENF-LAT-2,ENFEITE LATERAL-2
L133,3071725,153ENFEITE,153_ENF-LAT-EXT-1,ENFEITE LATERAL EXTERNO-1
L134,3071725,154ENFEITE,154_ENF-LAT-INT-1,ENFEITE LATERAL INTERNO-1
L135,3071725,155ENFEITE,155_ENF-LAT-EXT-2,ENFEITE LATERAL EXTERNO-2
L136,3071725,156ENFEITE,156_ENF-LAT-INT-2,ENFEITE LATERAL INTERNO-2
L137,3070400,157ENFEITE,157_,
L138,3071318,158ENFEITE,158_ENF-TRA-1,ENFEITE TRASEIRO-1
L139,3071318,159ENFEITE,159_ENF-TRA-2,ENFEITE TRASEIRO-2
L140,3070400,160ENFEITE,160_,
L141,3070400,161ENFEITE,161_,
L142,3070400,162ENFEITE,162_,
L143,3070909,163REFORCO,163_COU-1,COURACA-1
L144,3070909,164REFORCO,164_COU-2,COURACA-2
L145,3071318,165REFORCO,165_REF-BIQ-1,REFORCO BIQUEIRA-1
L146,3071318,166REFORCO,166_REF-BIQ-2,REFORCO BIQUEIRA-2
L147,3070400,167REFORCO,167_,
L148,3070400,168REFORCO,168_,
L149,3071316,169REFORCO,169_REF-GAS-1,REFORCO GASPEA-1
L150,3071316,170REFORCO,170_REF-GAS-2,REFORCO GASPEA-2
L151,3071315,171REFORCO,171_REF-GAS-3,REFORO GASPEA-3
L152,3070400,172REFORCO,172_,
L153,3071318,173REFORCO,173_REF-LIN-1,REFORCO LINGUETA-1
L154,3070400,174REFORCO,174_,
L155,3071727,175REFORCO,175_REF-LIN-SUP-1,REFORCO LINGUETA SUPERIOR-1
L156,3070400,176REFORCO,176_,
L157,3071315,177REFORCO,177_REF-VIS-1,REFORCO VISTA-1
L158,3071315,178REFORCO,178_REF-VIS-2,REFORCO VISTA-2
L159,3070400,179REFORCO,179_,
L160,3071723,180REFORCO,180_REF-VIS-EXT-1,REFORCO VISTA EXTERNA-1
L161,3071723,181REFORCO,181_REF-VIS-INT-1,REFORCO VISTA INTERNA-1
L162,3071723,182REFORCO,182_REF-VIS-EXT-2,REFORCO VISTA EXTERNA-2
L163,3071723,183REFORCO,183_REF-VIS-INT-2,REFORCO VISTA INTERNA-2
L164,3071923,184REFORCO,184_REF-VIS-CENTR-1,REFORCO VISTA CENTRAL-1
L165,3071923,185REFORCO,185_REF-VIS-CENTR-2,REFORCO VISTA CENTRAL-2
L166,3070400,186REFORCO,186_,
L167,3071724,187REFORCO,187_REF-VIS-SUP-1,REFORCO VISTA SUPERIOR-1
L168,3071724,188REFORCO,188_REF-VIS-SUP-2,REFORCO VISTA SUPERIOR-2
L169,3070400,189REFORCO,189_,
L170,3071317,190REFORCO,190_REF-LAT-1,REFORCO LATERAL-1
L171,3071317,191REFORCO,191_REF-LAT-2,REFORCO LATERAL-2
L172,3070400,192REFORCO,192_,
L173,3071725,193REFORCO,193_REF-LAT-EXT-1,REFORCO LATERAL-EXTERNO-1
L174,3071725,194REFORCO,194_REF-LAT-INT-1,REFORCO LATERAL-INTERNO-1
L175,3071725,195REFORCO,195_REF-LAT-EXT-2,REFORCO LATERAL-EXTERNO-2
L176,3071725,196REFORCO,196_REF-LAT-INT-2,REFORCO LATERAL-INTERNO-2
L177,3070400,197REFORCO,197_,
L178,3070400,198REFORCO,198_,
L179,3071314,199REFORCO,199_REF-TIR-1,REFORCO TIRA-1
L180,3071314,200REFORCO,200_REF-TIR-2,REFORCO TIRA-2
L181,3071314,201REFORCO,201_REF-TIR-3,REFORCO TIRA-3
L182,3070400,202REFORCO,202_,
L183,3071722,203REFORCO,203_REF-TIR-EXT-1,REFORCO TIRA EXTERNA-1
L184,3071722,204REFORCO,204_REF-TIR-INT-1,REFORCO TIRA INTERNA-1
L185,3071722,205REFORCO,205_REF-TIR-EXT-2,REFORCO TIRA EXTERNA-2
L186,3071722,206REFORCO,206_REF-TIR-INT-2,REFORCO TIRA INTERNA-2
L187,3070400,207REFORCO,207_,
L188,3070400,208REFORCO,208_,
L189,3071213,209REFORCO,209_CONTRA-1,CONTRAFORTE-1
L190,3071318,210REFORCO,210_REF-TRA-1,REFORCO TRASEIRO-1
L191,3071318,211REFORCO,211_REF-TRA-2,REFORCO TRASEIRO-2
L192,3070400,212REFORCO,212_,
L193,3071726,213REFORCO,213_REF-TRA-EXT-1,REFORCO TRASEIRO EXTERNO-1
L194,3071726,214REFORCO,214_REF-TRA-INT-1,REFORCO TRASEIRO INTERNO-1
L195,3071727,215REFORCO,215_REF-TRA-SUP-1,REFORCO TRASEIRO SUPERIOR-1
L196,3071727,216REFORCO,216_REF-TRA-SUP-2,REFORCO TRASEIRO SUPERIOR-2
L197,3070400,217REFORCO,217_,
L198,3071519,218REFORCO,218_REF-COLAR-1,REFORCO COLARINHO-1
L199,3071519,219REFORCO,219_REF-COLAR-2,REFORCO COLARINHO-2
L200,3070400,220REFORCO,220_,
L201,3071317,221REFORCO,221_REF-BOR-1,REFORCO BORDADO-1
L202,3071317,222REFORCO,222_REF-BOR-2,REFORCO BORDADO-2
L203,3070400,223REFORCO,223_,
L204,3071724,224REFORCO,224_REF-BOR-GAS-1,REFORCO BORDADO GASPEA-1
L205,3071724,225REFORCO,225_REF-BOR-GAS-2,REFORCO BORDADO GASPEA-2
L206,3070400,226REFORCO,226_,
L207,3071726,227REFORCO,227_REF-BOR-LIN-1,REFORCO BORDADO LINGUETA-1
L208,3072135,228REFORCO,228_REF-BOR-LIN-SUP-1,REFORCO BORDADO LINGUETA SUPERIOR-1
L209,3070400,229REFORCO,229_,
L210,3071725,230REFORCO,230_REF-BOR-LAT-1,REFORCO BORDADO LATERAL-1
L211,3071725,231REFORCO,231_REF-BOR-LAT-2,REFORCO BORDADO LATERAL-2
L212,3072133,232REFORCO,232_REF-BOR-LAT-EXT-1,REFORCO BORDADO LATERAL EXTERNA-1
L213,3072133,233REFORCO,233_REF-BOR-LAT-INT-1,REFORCO BORDADO LATERAL INTERNA-1
L214,3070400,234REFORCO,234_,
L215,3071726,235REFORCO,235_REF-BOR-TRA-1,REFORCO BORDADO TRASEIRO-1
L216,3071726,236REFORCO,236_REF-BOR-TRA-2,REFORCO BORDADO TRASEIRO-2
L217,3072135,237REFORCO,237_REF-BOR-TRA-SUP-1,REFORCO BORDADO TRASEIRO SUPERIOR-1
L218,3070400,238REFORCO,238_,
L219,3050907,239FORRO,239_FOR-1,FORRO-1
L220,3050907,240FORRO,240_FOR-2,FORRO-2
L221,3050907,241FORRO,241_FOR-3,FORRO-3
L222,3050400,242FORRO,242_,
L223,3051316,243FORRO,243_FOR-BIQ-1,FORRO BIQUEIRA-1
L224,3051316,244FORRO,244_FOR-BIQ-2,FORRO BIQUEIRA-2
L225,3050400,245FORRO,245_,
L226,3051314,246FORRO,246_FOR-GAS-1,FORRO GASPEA-1
L227,3051314,247FORRO,247_FOR-GAS-2,FORRO GASPEA-2
L228,3051314,248FORRO,248_FOR-GAS-3,FORRO GASPEA-3
L229,3050400,249FORRO,249_,
L230,3051316,250FORRO,250_FOR-LIN-1,FORRO LINGUETA-1
L231,3051316,251FORRO,251_FOR-LIN-2,FORRO LINGUETA-2
L232,3050400,252FORRO,252_,
L233,3051725,253FORRO,253_FOR-LIN-SUP-1,FORRO LINGUETA SUPERIOR-1
L234,3051725,254FORRO,254_FOR-LIN-INF-1,FORRO LINGUETA INFERIOR-1
L235,3050400,255FORRO,255_,
L236,3051313,256FORRO,256_FOR-VIS-1,FORRO VISTA-1
L237,3051313,257FORRO,257_FOR-VIS-2,FORRO VISTA-2
L238,3051721,258FORRO,258_FOR-VIS-EXT-1,FORRO VISTA EXTERNA-1
L239,3051721,259FORRO,259_FOR-VIS-INT-1,FORRO VISTA INTERNA-1
L240,3051921,260FORRO,260_FOR-VIS-CENTR-1,FORRO VISTA CENTRAL-1
L241,3051921,261FORRO,261_FOR-VIS-CENTR-2,FORRO VISTA CENTRAL-2
L242,3050400,262FORRO,262_,
L243,3051315,263FORRO,263_FOR-LAT-1,FORRO LATERAL-1
L244,3051315,264FORRO,264_FOR-LAT-2,FORRO LATERAL-2
L245,3051723,265FORRO,265_FOR-LAT-EXT-1,FORRO LATERAL EXTERNO-1
L246,3051723,266FORRO,266_FOR-LAT-INT-1,FORRO LATERAL INTERNO-1
L247,3051723,267FORRO,267_FOR-LAT-EXT-2,FORRO LATERAL EXTERNO-2
L248,3051723,268FORRO,268_FOR-LAT-INT-2,FORRO LATERAL INTERNO-2
L249,3050400,269FORRO,269_,
L250,3051316,270FORRO,270_FOR-TRA-1,FORRO TRASEIRO-1
L251,3051316,271FORRO,271_FOR-TRA-2,FORRO TRASEIRO-2
L252,3050400,272FORRO,272_,
L253,3051725,273FORRO,273_FOR-TRA-SUP-1,FORRO TRASEIRO SUPERIOR-1
L254,3050400,274FORRO,274_,
L255,3050400,275FORRO,275_,
L256,3081010,276ETIQUETA,276_ETIQ-1,ETIQUETA-1
L257,3081010,277ETIQUETA,277_ETIQ-2,ETIQUETA-2
L258,3080400,278ETIQUETA,278_,
L259,3081417,279ETIQUETA,279_ETIQ-GAS-1,ETIQUETA GASPEA-1
L260,3080400,280ETIQUETA,280_,
L261,3081419,281ETIQUETA,281_ETIQ-LIN-1,ETIQUETA LINGUETA-1
L262,3081419,282ETIQUETA,282_ETIQ-LIN-2,ETIQUETA LINGUETA-2
L263,3081828,283ETIQUETA,283_ETIQ-LIN-SUP-1,ETIQUETA LINGUETA SUPERIOR-1
L264,3080400,284ETIQUETA,284_,
L265,3081418,285ETIQUETA,285_ETIQ-LAT-1,ETIQUETA LATERAL-1
L266,3081418,286ETIQUETA,286_ETIQ-LAT-2,ETIQUETA LATERAL-2
L267,3080400,287ETIQUETA,287_,
L268,3081419,288ETIQUETA,288_ETIQ-TRA-1,ETIQUETA TRASEIRO-1
L269,3081419,289ETIQUETA,289_ETIQ-TRA-2,ETIQUETA TRASEIRO-2
L270,3080400,290ETIQUETA,290_,
L271,3080400,291ETIQUETA,291_,
L272,3081010,292PASSADOR,292_PASS-1,PASSADOR-1
L273,3081010,293PASSADOR,293_PASS-2,PASSADOR-2
L274,3081010,294PASSADOR,294_PASS-3,PASSADOR-3
L275,3081010,295PASSADOR,295_PASS-4,PASSADOR-4
L276,3081010,296PASSADOR,296_PASS-5,PASSADOR-5
L277,3081010,297PASSADOR,297_PASS-6,PASSADOR-6
L278,3081010,298PASSADOR,298_PASS-7,PASSADOR-7
L279,3081010,299PASSADOR,299_PASS-8,PASSADOR-8
L280,3080400,300PASSADOR,300_,
L281,3080400,301PASSADOR,301_,
L282,3040906,302FITA,302_FIT-1,FITA-1
L283,3040906,303FITA,303_FIT-2,FITA-2
L284,3040906,304FITA,304_FIT-3,FITA-3
L285,3040400,305FITA,305_,
L286,3041313,306FITA,306_FIT-GAS-1,FITA GASPEA-1
L287,3040400,307FITA,307_,
L288,3041315,308FITA,308_FIT-LIN-1,FITA LINGUETA-1
L289,3040400,309FITA,309_,
L290,3041314,310FITA,310_FIT-LAT-1,FITA LATERAL-1
L291,3041722,311FITA,311_FIT-LAT-EXT-1,FITA LATERAL EXTERNO-1
L292,3041722,312FITA,312_FIT-LAT-INT-1,FITA LATERAL INTERNO-1
L293,3041722,313FITA,313_FIT-LAT-EXT-2,FITA LATERAL EXTERNO-2
L294,3041722,314FITA,314_FIT-LAT-INT-2,FITA LATERAL INTERNO-2
L295,3040400,315FITA,315_,
L296,3041315,316FITA,316_FIT-TRA-1,FITA TRASEIRA-1
L297,3041315,317FITA,317_FIT-TRA-2,FITA TRASEIRA-2
L298,3041723,318FITA,318_FIT-TRA-EXT-1,FITA TRASEIRA EXTERNA-1
L299,3041723,319FITA,319_FIT-TRA-INT-1,FITA TRASEIRA INTERNA-1
L300,3040400,320FITA,320_,
L301,3070909,321PUXADOR,321_PUX-1,PUXADOR-1
L302,3070909,322PUXADOR,322_PUX-2,PUXADOR-2
L303,3070400,323PUXADOR,323_,
L304,3071416,324PUXADOR,324_PUX-GASP-1,PUXADOR GASPEA-1
L305,3071416,325PUXADOR,325_PUX-GASP-2,PUXADOR GASPEA-2
L306,3070400,326PUXADOR,326_,
L307,3071318,327PUXADOR,327_PUX-LIN-1,PUXADOR LINGUETA-1
L308,3071727,328PUXADOR,328_PUX-LIN-SUP-1,PUXADOR LINGUETA SUPERIOR-1
L309,3070400,329PUXADOR,329_,
L310,3071317,330PUXADOR,330_PUX-LAT-1,PUXADOR LATERAL-1
L311,3071725,331PUXADOR,331_PUX-LAT-EXT-1,PUXADOR LATERAL EXTERNO-1
L312,3071725,332PUXADOR,332_PUX-LAT-INT-1,PUXADOR LATERAL INTERNO-1
L313,3070400,333PUXADOR,333_,
L314,3071318,334PUXADOR,334_PUX-TRA-1,PUXADOR TRASEIRO-1
L315,3071318,335PUXADOR,335_PUX-TRA-2,PUXADOR TRASEIRO-2
L316,3070400,336PUXADOR,336_,
L317,3040906,337LOGO,337_LOG-1,LOGO-1
L318,3040906,338LOGO,338_LOG-2,LOGO-2
L319,3040906,339LOGO,339_LOG-3,LOGO-3
L320,3040906,340LOGO,340_LOG-4,LOGO-4
L321,3040400,341LOGO,341_,
L322,3040400,342LOGO,342_,
L323,3041313,343LOGO,343_LOG-GAS-1,LOGO GASPEA-1
L324,3040400,344LOGO,344_,
L325,3041315,345LOGO,345_LOG-LIN-1,LOGO LINGUETA-1
L326,3041315,346LOGO,346_LOG-LIN-2,LOGO LINGUETA-2
L327,3040400,347LOGO,347_,
L328,3041314,348LOGO,348_LOG-LAT-1,LOGO LATERAL-1
L329,3041314,349LOGO,349_LOG-LAT-2,LOGO LATERAL-2
L330,3040400,350LOGO,350_,
L331,3041714,351LOGO,351_LOG-LAT-EXT-1,LOGO EXTERNO-1
L332,3041714,352LOGO,352_LOG-LAT-INT-1,LOGO INTERNO-1
L333,3041714,353LOGO,353_LOG-LAT-EXT-2,LOGO EXTERNO-2
L334,3041714,354LOGO,354_LOG-LAT-INT-2,LOGO INTERNO-2
L335,3040400,355LOGO,355_,
L336,3041315,356LOGO,356_LOG-TRA-1,LOGO TRASEIRO-1
L337,3041315,357LOGO,357_LOG-TRA-2,LOGO TRASEIRO-2
L338,3040400,358LOGO,358_,
L339,3040400,359LOGO,359_,
L340,3090911,360COLARINHO,360_COL-1,COLARINHO-1
L341,3090911,361COLARINHO,361_COL-2,COLARINHO-2
L342,3090911,362COLARINHO,362_COL-3,COLARINHO-3
L343,3090400,363COLARINHO,363_,
L344,3091319,364COLARINHO,364_COL-EXT-1,COLARINHO EXTERNO-1
L345,3091319,365COLARINHO,365_COL-INT-1,COLARINHO INTERNO-1
L346,3091319,366COLARINHO,366_COL-EXT-2,COLARINHO EXTERNO-2
L347,3091319,367COLARINHO,367_COL-INT-2,COLARINHO INTERNO-2
L348,3090400,368COLARINHO,368_,
L349,3091320,369COLARINHO,369_COL-TRA-1,COLARINHO TRASEIRO-1
L350,3091320,370COLARINHO,370_COL-TRA-2,COLARINHO TRASEIRO-2
L351,3090400,371COLARINHO,371_,
L352,3090400,372COLARINHO,372_,
L353,3040906,373TELA,373_TEL-1,TELA-1
L354,3040906,374TELA,374_TEL-2,TELA-2
L355,3040906,375TELA,375_TEL-3,TELA-3
L356,3040400,376TELA,376_,
L357,3041315,377TELA,377_TEL-BIQ-1,TELA BIQUEIRA-1
L358,3041315,378TELA,378_TEL-BIQ-2,TELA BIQUEIRA-2
L359,3040400,379TELA,379_,
L360,3041313,380TELA,380_TEL-GAS-1,TELA GASPEA-1
L361,3041313,381TELA,381_TEL-GAS-2,TELA GASPEA-2
L362,3040400,382TELA,382_,
L363,3041315,383TELA,383_TEL-LIN-1,TELA LINGUETA-1
L364,3041315,384TELA,384_TEL-LIN-2,TELA LINGUETA-2
L365,3041724,385TELA,385_TEL-LIN-SUP-1,TELA LINGUETA SUPERIOR-1
L366,3041724,386TELA,386_TEL-LIN-INF-1,TELA LINGUETA INFERIOR-1
L367,3040400,387TELA,387_,
L368,3041314,388TELA,388_TEL-LAT-1,TELA LATERAL-1
L369,3041314,389TELA,389_TEL-LAT-2,TELA LATERAL-2
L370,3040400,390TELA,390_,
L371,3041722,391TELA,391_TEL-LAT-EXT-1,TELA LATERAL EXTERNA-1
L372,3041722,392TELA,392_TEL-LAT-INT-1,TELA LATERAL INTERNA-1
L373,3041722,393TELA,393_TEL-LAT-EXT-2,TELA LATERAL EXTERNA-2
L374,3041722,394TELA,394_TEL-LAT-INT-2,TELA LATERAL INTERNA-2
L375,3040400,395TELA,395_,
L376,3040400,396TELA,396_,
L377,3041315,397TELA,397_TEL-TRA-1,TELA TRASEIRA-1
L378,3041315,398TELA,398_TEL-TRA-2,TELA TRASEIRA-2
L379,3040400,399TELA,399_,
L380,3040400,400TELA,400_,
L381,3040400,401TELA,401_,
L382,3040400,402TELA,402_,
L383,3060908,403SOMBRA,403_SOM-1,SOMBRA-1
L384,3060908,404SOMBRA,404_SOM-2,SOMBRA-2
L385,3060908,405SOMBRA,405_SOM-3,SOMBRA-3
L386,3060400,406SOMBRA,406_,
L387,3061316,407SOMBRA,407_SOM-BIQ-1,SOMBRA BIQUEIA-1
L388,3061316,408SOMBRA,408_SOM-BIQ-2,SOMBRA BIQUEIA-2
L389,3060400,409SOMBRA,409_,
L390,3061318,410SOMBRA,410_SOM-GAS-1,SOMBRA DA GASPEA-1
L391,3061318,411SOMBRA,411_SOM-GAS-2,SOMBRA DA GASPEA-2
L392,3060400,412SOMBRA,412_,
L393,3061317,413SOMBRA,413_SOM-LIN-1,SOMBRA LINGUETA-1
L394,3061317,414SOMBRA,414_SOM-LIN-2,SOMBRA LINGUETA-2
L395,3061726,415SOMBRA,415_SOM-LIN-SUP-1,SOMBRA LINGUETA SUPERIOR-1
L396,3061726,416SOMBRA,416_SOM-LIN-INF-1,SOMBRA LINGUETA INFERIOR-1
L397,3060400,417SOMBRA,417_,
L398,3061316,418SOMBRA,418_SOM-LAT-1,SOMBRA LATERAL-1
L399,3061316,419SOMBRA,419_SOM-LAT-2,SOMBRA LATERAL-2
L400,3061724,420SOMBRA,420_SOM-LAT-EXT-1,SOMBRA LATERAL EXTERNA-1
L401,3061724,421SOMBRA,421_SOM-LAT-INT-1,SOMBRA LATERAL INTERNA-1
L402,3061724,422SOMBRA,422_SOM-LAT-EXT-2,SOMBRA LATERAL EXTERNA-2
L403,3061724,423SOMBRA,423_SOM-LAT-INT-2,SOMBRA LATERAL INTERNA-2
L404,3060400,424SOMBRA,424_,
L405,3060400,425SOMBRA,425_,
L406,3061318,426SOMBRA,426_SOM-COL-1,SOMBRA COLARINHO-1
L407,3061318,427SOMBRA,427_SOM-COL-2,SOMBRA COLARINHO-2
L408,3060400,428SOMBRA,428_,
L409,3061313,429SOMBRA,429_SOM-LOG-1,SOMBRA LOGO-1
L410,3061313,430SOMBRA,430_SOM-LOG-2,SOMBRA LOGO-2
L411,3060400,431SOMBRA,431_,
L412,3061317,432SOMBRA,432_SOM-TRA-1,SOMBRA TRASEIRO-1
L413,3061317,433SOMBRA,433_SOM-TRA-2,SOMBRA TRASEIRO-2
L414,3060400,434SOMBRA,434_,
L415,3061725,435SOMBRA,435_SOM-TRA-EXT-1,SOMBRA TRASEIRO EXTERNO-1
