col1,col2,col3,col4,col5
L619,3071414,649APLIQUE,649_APLI-LOG-1,APLIQUE LOGO-1
L620,3071414,650APLIQUE,650_APLI-LOG-2,APLIQUE LOGO-2
L621,3071414,651APLIQUE,651_APLI-LOG-3,APLIQUE LOGO-3
L622,3070400,652APLIQUE,652_,
L623,3071514,653APLIQUE,653_APLI-FLAG-1,APLIQUE FLAG-1
L624,3071514,654APLIQUE,654_APLI-FLAG-2,APLIQUE FLAG-2
L625,3070400,655APLIQUE,655_,
L626,3071419,656APLIQUE,656_APLI-COL-1,APLIQUE COLARINHO-1
L627,3071419,657APLIQUE,657_APLI-COL-2,APLIQUE COLARINHO-2
L628,3070400,658APLIQUE,658_,
L629,3071518,659APLIQUE,659_APLI-PASS-1,APLIQUE PASSADOR-1
L630,3071518,660APLIQUE,660_APLI-PASS-2,APLIQUE PASSADOR-2
L631,3070400,661APLIQUE,661_,
L632,3070400,662APLIQUE,662_,
L633,3071418,663APLIQUE,663_APLI-TRA-1,APLIQUE TRASEIRO-1
L634,3071418,664APLIQUE,664_APLI-TRA-2,APLIQUE TRASEIRO-2
L635,3071827,665APLIQUE,665_APLI-TRA-SUP-1,APLIQUE TRASEIRO SUPERIOR-1
L636,3070400,666APLIQUE,666_,
L637,3070400,667APLIQUE,667_,
L638,3070400,668APLIQUE,668_,
L639,3070400,669APLIQUE,669_,
L640,3060908,670ESPUMA,670_ESP-1,ESPUMA-1
L641,3060908,671ESPUMA,671_ESP-2,ESPUMA-2
L642,3060400,672ESPUMA,672_,
L643,3061315,673ESPUMA,673_ESP-GAS-1,ESPUMA GASPEA-1
L644,3061315,674ESPUMA,674_ESP-GAS-2,ESPUMA GASPEA-2
L645,3060400,675ESPUMA,675_,
L646,3061317,676ESPUMA,676_ESP-LIN-1,ESPUMA LINGUETA-1
L647,3061317,677ESPUMA,677_ESP-LIN-2,ESPUMA LINGUETA-2
L648,3061726,678ESPUMA,678_ESP-LIN-SUP-1,ESPUMA LINGUETA SUPERIOR-1
L649,3060400,679ESPUMA,679_,
L650,3061316,680ESPUMA,680_ESP-LAT-1,ESPUMA LATERAL-1
L651,3061316,681ESPUMA,681_ESP-LAT-2,ESPUMA LATERAL-2
L652,3061724,682ESPUMA,682_ESP-LAT-EXT-1,ESPUMA LATERAL EXTERNA-1
L653,3061724,683ESPUMA,683_ESP-LAT-INT-1,ESPUMA LATERAL INTERNA-1
L654,3061724,684ESPUMA,684_ESP-LAT-EXT-2,ESPUMA LATERAL EXTERNA-2
L655,3061724,685ESPUMA,685_ESP-LAT-INT-2,ESPUMA LATERAL INTERNA-2
L656,3060400,686ESPUMA,686_,
L657,3060400,687ESPUMA,687_,
L658,3061317,688ESPUMA,688_ESP-TRA-1,ESPUMA TRASEIRA-1
L659,3061317,689ESPUMA,689_ESP-TRA-2,ESPUMA TRASEIRA-2
L660,3061726,690ESPUMA,690_ESP-TRA-SUP-1,ESPUMA TRASEIRA SUPERIOR-1
L661,3060400,691ESPUMA,691_,
L662,3060908,692VELCRO,692_VEL-1,VELCRO-1
L663,3060908,693VELCRO,693_VEL-2,VELCRO-2
L664,3060400,694VELCRO,694_,
L665,3061314,695VELCRO,695_VEL-MAC-1,VELCRO MACHO-1
L666,3061314,696VELCRO,696_VEL-FEM-1,VELCRO FEMEA-1
L667,3061314,697VELCRO,697_VEL-MAC-2,VELCRO MACHO-2
L668,3061314,698VELCRO,698_VEL-FEM-2,VELCRO FEMEA-2
